	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
CARMN	1.21941487130494e-14	0.501591928169799	0.532	0.276	1.81046525942645e-10	MF1	CARMN
MAP3K20	1.27921172574159e-14	0.475511791109949	0.906	0.703	1.89924564920854e-10	MF1	MAP3K20
KCNAB1	2.16557430818006e-14	0.504887553175493	0.61	0.342	3.21522817535494e-10	MF1	KCNAB1
FRZB	3.74598429743465e-14	0.487861387599615	0.929	0.753	5.56166288640123e-10	MF1	FRZB
KCNMB1	6.15169078082395e-14	0.422725610452274	0.637	0.356	9.13341530228932e-10	MF1	KCNMB1
CALM1	9.14368236031809e-14	0.449158529310343	0.989	0.961	1.35756252003643e-09	MF1	CALM1
PDLIM7	2.41032957600398e-13	0.395091497742032	0.674	0.406	3.5786163214931e-09	MF1	PDLIM7
PTMA	2.47229646520079e-13	0.32120532016163	1	1	3.67061856188362e-09	MF1	PTMA
TPPP3	2.68205291360273e-13	0.6037264300366	0.805	0.614	3.98204396082598e-09	MF1	TPPP3
MGP	3.01512280273836e-13	0.276984779536204	0.996	0.899	4.47655282522564e-09	MF1	MGP
ACTN1	3.19070918329692e-13	0.463839491516362	0.839	0.614	4.73724592444093e-09	MF1	ACTN1
MYOCD	3.29854409215212e-13	0.361416570103988	0.483	0.222	4.89734841361825e-09	MF1	MYOCD
MCAM	3.39369859929912e-13	0.404994587952995	0.981	0.829	5.0386243103794e-09	MF1	MCAM
ENAH	8.45157571347363e-13	0.500336299988147	0.749	0.514	1.25480544617943e-08	MF1	ENAH
MFGE8	3.07039947344879e-12	0.428133565077693	0.978	0.895	4.55862209822942e-08	MF1	MFGE8
HSPB6	3.13847481597167e-12	0.495295930809714	0.768	0.544	4.65969355927315e-08	MF1	HSPB6
NET1	3.69664638438457e-12	0.407799046292947	0.667	0.402	5.48841088689578e-08	MF1	NET1
MRVI1	5.27803262489569e-12	0.456674258102363	0.64	0.402	7.83629503818264e-08	MF1	MRVI1
PRELP	1.10647172539692e-11	0.472708036916117	0.457	0.228	1.64277857069681e-07	MF1	PRELP
ELN	1.28327720560649e-11	0.336103159390704	0.333	0.13	1.90528166716396e-07	MF1	ELN
ENTPD1	1.46396290445693e-11	0.407772906330194	0.625	0.375	2.1735457242472e-07	MF1	ENTPD1
SGCA	2.17133990392207e-11	0.390044876957208	0.494	0.262	3.2237883553531e-07	MF1	SGCA
OLFML2B	3.20241249545837e-11	0.359336070388453	0.584	0.338	4.75462183200704e-07	MF1	OLFML2B
PLAC9	4.56948933484336e-11	0.433487352352763	0.955	0.874	6.78432081544194e-07	MF1	PLAC9
FBXO32	6.75051707202078e-11	0.475311607332789	0.67	0.42	1.00224926968292e-06	MF1	FBXO32
C1QTNF1	8.61091758854318e-11	0.430594725693965	0.7	0.472	1.27846293437101e-06	MF1	C1QTNF1
ANTXR1	8.65967792656741e-11	0.397004909128251	0.7	0.48	1.28570238175746e-06	MF1	ANTXR1
PGF	1.03455468219455e-10	0.411812528953231	0.82	0.587	1.53600333665425e-06	MF1	PGF
GSTP1	1.34837972306282e-10	0.358614345749617	0.97	0.875	2.00193937483137e-06	MF1	GSTP1
FOXS1	1.53141465187858e-10	0.412978664469361	0.584	0.354	2.27369133364413e-06	MF1	FOXS1
FHL1	1.67969058412004e-10	0.423405421450556	0.76	0.552	2.49383661024302e-06	MF1	FHL1
SNCG	1.91701870916527e-10	0.398165339031309	0.33	0.144	2.84619767749767e-06	MF1	SNCG
EGFL6	2.22763066140791e-10	0.437237587172134	0.277	0.105	3.30736324299232e-06	MF1	EGFL6
SMOC2	2.23522390796963e-10	0.381412931692802	0.738	0.489	3.3186369361625e-06	MF1	SMOC2
ARPC1A	2.38990159203588e-10	0.319196791692637	0.682	0.445	3.54828689369566e-06	MF1	ARPC1A
NEXN	2.93513332184866e-10	0.490488454552688	0.712	0.509	4.35779244294871e-06	MF1	NEXN
NTF3	3.85513122157862e-10	0.428523117326361	0.528	0.302	5.72371332467777e-06	MF1	NTF3
PLP2	4.90352368579726e-10	0.422228203824637	0.659	0.445	7.28026161630319e-06	MF1	PLP2
THBS1	7.4323209333557e-10	0.295677602323967	0.472	0.249	1.10347668897532e-05	MF1	THBS1
GBP2	7.69704055783702e-10	0.40395169022022	0.551	0.338	1.14277961162206e-05	MF1	GBP2
SH3BGRL	7.81956091794398e-10	0.326473080855101	0.978	0.868	1.16097020948714e-05	MF1	SH3BGRL
TBX2-AS1	8.71871006802127e-10	0.361684050744296	0.592	0.37	1.29446688379912e-05	MF1	TBX2-AS1
MICAL2	8.96363363085153e-10	0.298361282065819	0.386	0.187	1.33083068517253e-05	MF1	MICAL2
MGST3	1.00251997120712e-09	0.324729729446817	0.996	0.95	1.48844140125121e-05	MF1	MGST3
LPP	1.00274829899209e-09	0.44110831111379	0.816	0.646	1.48878039951355e-05	MF1	LPP
MAP3K7CL	1.33902801700531e-09	0.418320291577714	0.655	0.441	1.98805489684778e-05	MF1	MAP3K7CL
TBC1D1	1.46115337712466e-09	0.345521695552528	0.693	0.466	2.16937441901699e-05	MF1	TBC1D1
AOC3	2.93706494712055e-09	0.346748882939788	0.659	0.447	4.36066032698987e-05	MF1	AOC3
SBDS	3.31184575265474e-09	0.354616670324372	0.835	0.687	4.9170973889665e-05	MF1	SBDS
SDC2	3.51829975185278e-09	0.37329067039228	0.906	0.772	5.22361964157583e-05	MF1	SDC2
LGALSL	4.14430807433127e-09	0.286760706666129	0.464	0.26	6.15305419795964e-05	MF1	LGALSL
TWSG1	4.2357125255853e-09	0.301516068640038	0.498	0.283	6.28876238673649e-05	MF1	TWSG1
ACKR3	4.87013577044672e-09	0.311890125728137	0.382	0.189	7.23069057838224e-05	MF1	ACKR3
MAPRE2	5.08334080793478e-09	0.354700628059445	0.772	0.55	7.54723609754077e-05	MF1	MAPRE2
CAMK2G	5.11151362509912e-09	0.31948680293533	0.502	0.295	7.58906427918466e-05	MF1	CAMK2G
CALM2	7.03037314752253e-09	0.278026230882467	1	0.991	0.000104379950121267	MF1	CALM2
EFHD1	7.50899889359748e-09	0.355584682294789	0.697	0.505	0.000111486106573242	MF1	EFHD1
PDLIM1	8.64370085482921e-09	0.389204836306051	0.861	0.76	0.000128333026591649	MF1	PDLIM1
PDGFA	1.44066741908304e-08	0.325411989551619	0.476	0.29	0.000213895891711259	MF1	PDGFA
IL33	1.63212540717044e-08	0.422279363827984	0.532	0.338	0.000242321659202595	MF1	IL33
SORT1	1.65999294311426e-08	0.287958616592518	0.596	0.39	0.000246459152264174	MF1	SORT1
CAV2	2.17644707760714e-08	0.364687096352892	0.884	0.756	0.000323137097612333	MF1	CAV2
ACTN4	2.21687799526805e-08	0.371310306264039	0.813	0.646	0.000329139875957447	MF1	ACTN4
PALLD	2.45076973553463e-08	0.340245363102128	0.779	0.587	0.000363865782634826	MF1	PALLD
EDIL3	2.54120655536472e-08	0.312517248120489	0.532	0.322	0.000377292937274999	MF1	EDIL3
FADS3	2.67997492566905e-08	0.320013430077841	0.348	0.18	0.000397895877214084	MF1	FADS3
LIMS2	2.86285877392351e-08	0.270232942145282	0.397	0.208	0.000425048642164424	MF1	LIMS2
NUDT4	3.25661148046346e-08	0.334458326983997	0.734	0.543	0.000483509106504409	MF1	NUDT4
OAT	3.38419966423506e-08	0.365911140026683	0.622	0.436	0.000502452124148979	MF1	OAT
PCGF5	3.51053984696311e-08	0.286579037198949	0.446	0.262	0.000521209851078613	MF1	PCGF5
LINC00702	3.91747971369429e-08	0.259881704390268	0.303	0.142	0.000581628213092191	MF1	LINC00702
OR51E1	4.02442212185308e-08	0.362541429300588	0.543	0.345	0.000597505952431527	MF1	OR51E1
DEPP1	4.83659053961747e-08	0.673605927474617	0.734	0.56	0.000718088597417006	MF1	DEPP1
PKIG	5.33162004030593e-08	0.318534057290079	0.727	0.564	0.000791585627384221	MF1	PKIG
FMO3	5.40821416546396e-08	0.357920408352594	0.577	0.384	0.000802957557146434	MF1	FMO3
CCDC153	5.76257252876472e-08	0.421072194549237	0.322	0.164	0.000855569143345697	MF1	CCDC153
TNFRSF12A	5.78676007274289e-08	0.311890125728137	0.461	0.262	0.000859160268000136	MF1	TNFRSF12A
ITGA7	8.15585014537767e-08	0.274203456602791	0.554	0.354	0.00121089907108422	MF1	ITGA7
PLA2G5	9.71703247341486e-08	0.269336866846875	0.772	0.559	0.0014426878113279	MF1	PLA2G5
ZFYVE21	1.51543227317664e-07	0.278440532309267	0.442	0.258	0.00224996229598536	MF1	ZFYVE21
C2orf40	1.73097334607663e-07	0.324874383317026	0.326	0.167	0.00256997612691998	MF1	C2orf40
PPP1R12A	2.06746363503775e-07	0.315088088213567	0.828	0.687	0.00306956325894054	MF1	PPP1R12A
TMEM51	2.33565076953146e-07	0.281623240174705	0.442	0.262	0.00346774069752336	MF1	TMEM51
CD46	2.51822853970174e-07	0.34985479380761	0.757	0.609	0.00373881391289517	MF1	CD46
FILIP1	2.57297028876068e-07	0.380110824292753	0.79	0.628	0.00382008898772299	MF1	FILIP1
NPNT	2.615822732523e-07	0.250608150617452	0.258	0.116	0.0038837120109769	MF1	NPNT
C9orf16	3.33490332636603e-07	0.381671189991717	0.655	0.482	0.00495133096865565	MF1	C9orf16
HES4	4.01430692459484e-07	0.589845726171536	0.577	0.427	0.00596004149094596	MF1	HES4
HSPB8	4.70906294348016e-07	0.293511596413282	0.337	0.189	0.00699154575218499	MF1	HSPB8
PLS3	4.95464704496741e-07	0.338546999709175	0.865	0.76	0.00735616446766311	MF1	PLS3
MT-RNR1	5.44244760781898e-07	0.258205208891881	1	1	0.00808040196332884	MF1	MT-RNR1
SLC8A1	5.46829739197289e-07	0.286180006622242	0.487	0.31	0.00811878113786215	MF1	SLC8A1
RBBP7	5.88928535450096e-07	0.318352757253286	0.584	0.422	0.00874382196582758	MF1	RBBP7
MRPS6	7.69641092728788e-07	0.274029039019203	0.502	0.326	0.0114268613037443	MF1	MRPS6
COL18A1	8.5670972098699e-07	0.257952106037044	0.899	0.785	0.0127195692274938	MF1	COL18A1
NPTN	8.95176727414319e-07	0.292759652269289	0.637	0.488	0.0132906888719204	MF1	NPTN
HIP1	1.12707097912466e-06	0.283233298111944	0.434	0.267	0.0167336228270639	MF1	HIP1
IAH1	1.25143246244706e-06	0.350718965881929	0.558	0.402	0.0185800177699515	MF1	IAH1
PPP1CB	1.28596867748141e-06	0.277187620810864	0.607	0.441	0.0190927769545665	MF1	PPP1CB
TIMMDC1	1.43831331154518e-06	0.277937821077714	0.554	0.37	0.0213546377365112	MF1	TIMMDC1
RBPMS2	1.62684960508391e-06	0.256060410866465	0.404	0.244	0.0241538360866808	MF1	RBPMS2
FAS	1.80581677088967e-06	0.343490657555479	0.491	0.343	0.0268109615973989	MF1	FAS
SERPINI1	1.80769632180942e-06	0.339117334702382	0.404	0.256	0.0268388672899044	MF1	SERPINI1
PTP4A3	2.27426417967056e-06	0.294680835695914	0.663	0.48	0.0337660002755689	MF1	PTP4A3
C9orf3	2.75041297014698e-06	0.264536466811987	0.419	0.262	0.0408353813677721	MF1	C9orf3
GPX3	2.90255345485362e-06	0.302957945918392	0.993	0.957	0.0430942111442117	MF1	GPX3
IQGAP1	3.8036804651158e-06	0.306274427145444	0.831	0.708	0.0564732438655743	MF1	IQGAP1
GPRC5C	4.01570260216854e-06	0.28937979974041	0.562	0.406	0.0596211365343964	MF1	GPRC5C
UBA2	4.48983251754559e-06	0.280106182337876	0.768	0.623	0.0666605433879994	MF1	UBA2
NR3C1	5.42239039731066e-06	0.269745813334488	0.554	0.399	0.0805062302288713	MF1	NR3C1
WDR1	5.74217065016781e-06	0.257884005582128	0.753	0.575	0.0852540076430415	MF1	WDR1
KRT18	7.36921786793981e-06	0.48160809623935	0.592	0.443	0.109410777685302	MF1	KRT18
ILK	7.42242298385739e-06	0.273920577940259	0.779	0.674	0.110200714041331	MF1	ILK
MTHFD2	7.92436976702114e-06	0.265479660771179	0.809	0.646	0.117653117930963	MF1	MTHFD2
TCEAL3	8.76820179620528e-06	0.254756383208935	0.36	0.221	0.13018149206826	MF1	TCEAL3
RALBP1	9.7011979137067e-06	0.283306493194588	0.558	0.416	0.144033685424803	MF1	RALBP1
YWHAQ	1.02932156621524e-05	0.258077079293934	0.831	0.714	0.152823372935977	MF1	YWHAQ
VCL	1.19048758112112e-05	0.250110412112984	0.813	0.698	0.176751691169053	MF1	VCL
SYNGR2	1.67924124651785e-05	0.268377819386916	0.509	0.354	0.249316947870506	MF1	SYNGR2
GPR20	1.85058059409314e-05	0.268480054800691	0.296	0.174	0.274755700805008	MF1	GPR20
SLC25A4	2.13015296069799e-05	0.336289520094744	0.566	0.423	0.316263810074831	MF1	SLC25A4
OAZ2	2.15690543090798e-05	0.280619233143665	0.79	0.657	0.320235749326907	MF1	OAZ2
FKBP5	2.27911909363212e-05	0.32479215270109	0.67	0.527	0.338380811831561	MF1	FKBP5
CCDC107	2.36930405821855e-05	0.265269811772867	0.569	0.411	0.351770573523709	MF1	CCDC107
SULF1	2.63161562054143e-05	0.27979598223809	0.33	0.201	0.390715971181785	MF1	SULF1
GINM1	3.19139272625541e-05	0.302381800341502	0.524	0.397	0.47382607806714	MF1	GINM1
CAMTA1	5.59365516966864e-05	0.260180974172949	0.667	0.539	0.830489983040703	MF1	CAMTA1
ANXA6	6.37969135721172e-05	0.263986502457641	0.798	0.706	0.947192775805225	MF1	ANXA6
RRAD	8.51407201024665e-05	0.258873135263937	0.277	0.164	1	MF1	RRAD
ANAPC16	8.70244854432847e-05	0.251864890184905	0.738	0.61	1	MF1	ANAPC16
RRAS	0.000101982927575984	0.273388019273744	0.697	0.578	1	MF1	RRAS
MAP4	0.000106275837844847	0.260986947480407	0.682	0.557	1	MF1	MAP4
GADD45GIP1	0.000122638630291931	0.288715843757169	0.813	0.674	1	MF1	GADD45GIP1
TTLL7	0.000177259627549542	0.250126958204	0.258	0.155	1	MF1	TTLL7
CAP1	0.000177666825905204	0.25241798983025	0.813	0.726	1	MF1	CAP1
DYNLT1	0.000190512899770617	0.260887005770933	0.794	0.717	1	MF1	DYNLT1
GADD45B	0.0002801805520899	0.297264912388533	0.858	0.696	1	MF1	GADD45B
RAD23A	0.000337342785274458	0.254068828965883	0.622	0.528	1	MF1	RAD23A
CYSTM1	0.000397768401428066	0.273216138566149	0.839	0.765	1	MF1	CYSTM1
COX17	0.000624514397544631	0.288681795345553	0.704	0.617	1	MF1	COX17
TINAGL1	0.00110055123026669	0.252020173498698	0.76	0.653	1	MF1	TINAGL1
COA3	0.00220987920440831	0.263815226157204	0.509	0.416	1	MF1	COA3
CD36	9.83876023780184e-86	2.76523167653298	0.869	0.217	1.46076073250644e-81	MF2	CD36
THY1	2.3148040693568e-63	2.09827189562695	0.852	0.311	3.43678960177404e-59	MF2	THY1
RGS5	4.25351686869715e-60	1.23030955670019	0.992	0.94	6.31519649495465e-56	MF2	RGS5
CYGB	2.29715597366748e-51	1.24360569586237	0.488	0.051	3.41058747410411e-47	MF2	CYGB
SPARC	1.83339770062962e-47	1.12868868373332	1	0.981	2.7220455661248e-43	MF2	SPARC
STEAP4	3.27592777828376e-46	1.59224893731162	0.549	0.108	4.86376997241789e-42	MF2	STEAP4
FABP4	6.64611261629597e-42	2.09445943615085	0.844	0.444	9.86748340141462e-38	MF2	FABP4
ADAMTS4	3.03912043000818e-41	1.05241407906929	0.713	0.251	4.51218210243315e-37	MF2	ADAMTS4
FXYD6	6.4727887416002e-41	0.996525839048825	0.848	0.395	9.61014944465382e-37	MF2	FXYD6
COL6A3	4.95546906452049e-40	1.14164601317268	0.529	0.101	7.35738492009357e-36	MF2	COL6A3
KCNJ8	3.62808193892537e-38	1.14576391259905	0.611	0.186	5.3866132547225e-34	MF2	KCNJ8
CPE	5.22235911419583e-36	1.01527243536341	0.885	0.562	7.75363657684655e-32	MF2	CPE
FABP5	6.338789687402e-36	1.19229281447077	0.816	0.453	9.41120104888575e-32	MF2	FABP5
NDUFA4L2	3.49141060519731e-35	0.89144187685477	0.984	0.901	5.18369732553645e-31	MF2	NDUFA4L2
MYO1B	6.54785840033093e-35	1.01195573499731	0.816	0.491	9.72160536697133e-31	MF2	MYO1B
APOLD1	1.32503074324913e-34	1.09080866112213	0.889	0.578	1.96727314450199e-30	MF2	APOLD1
ARHGDIB	9.25749427271414e-34	0.915520765249473	0.943	0.79	1.37446017466987e-29	MF2	ARHGDIB
NID1	2.19043969992157e-32	0.898102475193969	0.73	0.337	3.25214582247355e-28	MF2	NID1
TFPI	6.18935871439696e-32	1.00835208043378	0.861	0.585	9.18934088326517e-28	MF2	TFPI
GJA4	8.9267634081181e-31	0.917569001189003	0.918	0.653	1.32535656320329e-26	MF2	GJA4
LPL	5.25595189976869e-30	0.523784132907332	0.25	0.012	7.80351178558657e-26	MF2	LPL
COL4A1	8.03359781838034e-30	1.20485590942131	0.975	0.819	1.19274826809493e-25	MF2	COL4A1
COLEC11	9.65469111030932e-30	1.16998167142762	0.701	0.333	1.43343198914762e-25	MF2	COLEC11
ADAMTS1	1.10272340069524e-29	1.24739527600404	0.787	0.499	1.63721343301222e-25	MF2	ADAMTS1
SEPT11	1.07849492277485e-25	0.810448722921515	0.779	0.494	1.60124141184383e-21	MF2	SEPT11
C20orf27	2.18986622583776e-24	0.709382911304394	0.549	0.205	3.25129438550132e-20	MF2	C20orf27
COL4A2	3.93547943076676e-24	0.891416531983857	0.93	0.708	5.84300631085941e-20	MF2	COL4A2
SLC12A2	2.59854132139905e-22	0.704337966669629	0.459	0.159	3.85805429988116e-18	MF2	SLC12A2
NID2	7.44817646080977e-22	0.624332914545319	0.48	0.162	1.10583075913643e-17	MF2	NID2
ABCC9	2.66144095891524e-21	0.595473368898184	0.43	0.137	3.95144139170146e-17	MF2	ABCC9
FAM213A	3.87436199918979e-21	0.546689999586018	0.434	0.145	5.75226526019708e-17	MF2	FAM213A
MARCKSL1	4.45375964854356e-21	0.503916314476925	0.357	0.091	6.61249695019262e-17	MF2	MARCKSL1
CCND1	4.51071941554643e-21	0.821661676624575	0.787	0.537	6.69706511626179e-17	MF2	CCND1
EPB41L1	1.01493957375408e-20	0.566323641050856	0.553	0.232	1.50688078515269e-16	MF2	EPB41L1
UACA	1.58079412900121e-20	0.817747738939378	0.795	0.574	2.34700504332809e-16	MF2	UACA
HIGD1B	3.88699204614181e-20	0.712689858938731	0.852	0.537	5.77101709090675e-16	MF2	HIGD1B
ADGRF5	5.00153415582831e-20	0.722189842626835	0.73	0.444	7.42577776115829e-16	MF2	ADGRF5
EGFLAM	1.21167022332991e-19	0.574168038746566	0.578	0.263	1.79896678057791e-15	MF2	EGFLAM
ITM2C	1.38644423622354e-19	0.775338456624148	0.811	0.569	2.05845375752109e-15	MF2	ITM2C
COX4I2	1.51611105532524e-19	0.884320010341421	0.84	0.6	2.25097008384138e-15	MF2	COX4I2
ENPEP	2.82340512512166e-19	0.691990081145227	0.84	0.598	4.19190958926813e-15	MF2	ENPEP
PIEZO2	7.62343797540867e-19	0.347374845368885	0.262	0.05	1.13185183620893e-14	MF2	PIEZO2
ITGB1	9.58650732321935e-19	0.614995785295753	0.988	0.928	1.42330874227838e-14	MF2	ITGB1
FAM162B	1.02739542363949e-18	0.725740625515812	0.615	0.333	1.52537398547754e-14	MF2	FAM162B
LAMA4	1.05776696792169e-18	0.859229029378591	0.758	0.516	1.57046661727334e-14	MF2	LAMA4
CD248	1.43498487367941e-18	0.658521403264706	0.434	0.162	2.13052204195182e-14	MF2	CD248
CCDC102B	1.63224504047662e-18	0.870790629287499	0.738	0.511	2.42339421159564e-14	MF2	CCDC102B
PDGFRB	2.4105524207627e-18	0.712305072906128	0.77	0.516	3.57894717910637e-14	MF2	PDGFRB
EBF2	3.9845354223658e-18	0.378221845444447	0.328	0.087	5.9158397415865e-14	MF2	EBF2
SPTBN1	5.16673011814191e-18	0.603787668250332	0.73	0.458	7.6710442064053e-14	MF2	SPTBN1
GPRIN3	1.00583109083592e-16	0.414374574357088	0.393	0.137	1.4933574205641e-12	MF2	GPRIN3
TMSB10	1.17505471134069e-16	0.444806077692055	1	0.991	1.74460372992752e-12	MF2	TMSB10
NRP1	1.66722259668227e-16	0.7300457980725	0.652	0.4	2.47532538929417e-12	MF2	NRP1
TESC	3.4263232943171e-16	0.613790054701694	0.373	0.132	5.0870621950726e-12	MF2	TESC
TNFRSF21	1.0680539913173e-15	0.439051360270005	0.422	0.166	1.58573976090879e-11	MF2	TNFRSF21
ID3	1.14760467056927e-14	1.05959998045858	0.795	0.632	1.7038486543942e-10	MF2	ID3
KCNE4	1.17386115291056e-14	0.588610746773555	0.623	0.361	1.74283165372631e-10	MF2	KCNE4
MDK	2.66098719143411e-14	0.620949664340575	0.467	0.217	3.95076768312223e-10	MF2	MDK
IFIT2	6.87860176802805e-14	0.344971485095518	0.295	0.091	1.02126600449912e-09	MF2	IFIT2
DLC1	2.28690955418109e-13	0.531197269852621	0.619	0.376	3.39537461509267e-09	MF2	DLC1
SLC25A5	2.32650338888875e-13	0.556635799548759	0.918	0.817	3.45415958148312e-09	MF2	SLC25A5
COL5A3	2.51624618281623e-13	0.474350254471683	0.369	0.15	3.73587070762726e-09	MF2	COL5A3
COL3A1	3.41573593720273e-13	0.293562797330688	0.82	0.658	5.07134314596489e-09	MF2	COL3A1
