	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
ITIH2	0	2.15371071239973	0.921	0.266	0	Hepatocytes	ITIH2
ADH4	0	2.15237423625385	0.759	0.233	0	Hepatocytes	ADH4
VTN	0	2.14938659678288	0.947	0.393	0	Hepatocytes	VTN
AZGP1	0	2.1473093414945	0.953	0.27	0	Hepatocytes	AZGP1
FABP1	0	2.11124371684961	0.718	0.294	0	Hepatocytes	FABP1
ORM2	0	2.07673917436781	0.889	0.231	0	Hepatocytes	ORM2
RARRES2	0	2.05866883551482	0.968	0.312	0	Hepatocytes	RARRES2
TM4SF4	0	2.05392056845134	0.91	0.23	0	Hepatocytes	TM4SF4
ANGPTL3	0	2.0420920923882	0.925	0.234	0	Hepatocytes	ANGPTL3
CYB5A	0	2.02925222915426	0.966	0.509	0	Hepatocytes	CYB5A
BAAT	0	2.02139735007962	0.855	0.207	0	Hepatocytes	BAAT
AGT	0	2.00071899441368	0.915	0.25	0	Hepatocytes	AGT
EPHX1	0	1.98076869928612	0.925	0.429	0	Hepatocytes	EPHX1
MGST1	0	1.94782123867828	0.946	0.305	0	Hepatocytes	MGST1
GATM	0	1.94182252831309	0.888	0.367	0	Hepatocytes	GATM
ADH1C	0	1.89736053490255	0.808	0.169	0	Hepatocytes	ADH1C
ARG1	0	1.89401947572969	0.771	0.174	0	Hepatocytes	ARG1
C4BPA	0	1.8850287956615	0.928	0.246	0	Hepatocytes	C4BPA
APOE	0	1.85903827336909	0.985	0.809	0	Hepatocytes	APOE
SERPING1	0	1.85515518530457	0.976	0.629	0	Hepatocytes	SERPING1
SLPI	0	1.82436730288972	0.746	0.205	0	Hepatocytes	SLPI
CPS1	0	1.82165028973914	0.845	0.278	0	Hepatocytes	CPS1
ITIH3	0	1.78051528039552	0.861	0.226	0	Hepatocytes	ITIH3
SERPIND1	0	1.74405632799726	0.897	0.175	0	Hepatocytes	SERPIND1
SERPINA6	0	1.73103483576243	0.843	0.219	0	Hepatocytes	SERPINA6
TMEM176A	0	1.71541248154756	0.883	0.376	0	Hepatocytes	TMEM176A
NUPR1	0	1.70509069051092	0.848	0.277	0	Hepatocytes	NUPR1
DCXR	0	1.69110542122929	0.944	0.483	0	Hepatocytes	DCXR
TAT	0	1.67004099683489	0.786	0.261	0	Hepatocytes	TAT
C1R	0	1.66409249869845	0.893	0.215	0	Hepatocytes	C1R
MPC2	0	1.66011818559127	0.943	0.449	0	Hepatocytes	MPC2
HSD17B6	0	1.64239029957683	0.82	0.172	0	Hepatocytes	HSD17B6
SLC2A2	0	1.640626519309	0.856	0.161	0	Hepatocytes	SLC2A2
CFHR3	0	1.63216341328557	0.513	0.119	0	Hepatocytes	CFHR3
ERRFI1	0	1.61289714406646	0.676	0.174	0	Hepatocytes	ERRFI1
IGFBP1	0	1.60865330366516	0.676	0.237	0	Hepatocytes	IGFBP1
FN1	0	1.59861149365866	0.947	0.372	0	Hepatocytes	FN1
PCK1	0	1.59845856689688	0.707	0.209	0	Hepatocytes	PCK1
ADH1A	0	1.5931037555019	0.707	0.158	0	Hepatocytes	ADH1A
C5	0	1.59012932362042	0.853	0.179	0	Hepatocytes	C5
CYP2A6	0	1.56894694948741	0.54	0.169	0	Hepatocytes	CYP2A6
FGL1	0	1.56427804457791	0.746	0.217	0	Hepatocytes	FGL1
CPB2	0	1.55945628187401	0.88	0.175	0	Hepatocytes	CPB2
HPN	0	1.55823345560144	0.707	0.161	0	Hepatocytes	HPN
AKR1C3	0	1.55330452399483	0.899	0.248	0	Hepatocytes	AKR1C3
TMEM176B	0	1.54883730149921	0.901	0.455	0	Hepatocytes	TMEM176B
C1S	0	1.54726449001616	0.863	0.223	0	Hepatocytes	C1S
PEBP1	0	1.54140270350645	0.985	0.748	0	Hepatocytes	PEBP1
PON3	0	1.51801627137404	0.787	0.15	0	Hepatocytes	PON3
APOA5	0	1.48213436511954	0.578	0.125	0	Hepatocytes	APOA5
APOM	0	1.47223971985757	0.757	0.192	0	Hepatocytes	APOM
PON1	0	1.46714380445453	0.805	0.147	0	Hepatocytes	PON1
KRT18	0	1.46037321699962	0.788	0.188	0	Hepatocytes	KRT18
GAMT	0	1.4527648605987	0.827	0.234	0	Hepatocytes	GAMT
RIDA	0	1.45031787998642	0.837	0.247	0	Hepatocytes	RIDA
PAH	0	1.44968450159685	0.83	0.208	0	Hepatocytes	PAH
TFPI	0	1.44751833759964	0.83	0.311	0	Hepatocytes	TFPI
C4BPB	0	1.44517710573366	0.856	0.181	0	Hepatocytes	C4BPB
CYP2C9	0	1.44356788727579	0.742	0.186	0	Hepatocytes	CYP2C9
CES2	0	1.44230428708963	0.786	0.183	0	Hepatocytes	CES2
UGT2B15	0	1.43952225481393	0.795	0.143	0	Hepatocytes	UGT2B15
UGT2B4	0	1.43619223752189	0.749	0.146	0	Hepatocytes	UGT2B4
LEAP2	0	1.43526138782972	0.709	0.154	0	Hepatocytes	LEAP2
C8G	0	1.41915413838601	0.782	0.16	0	Hepatocytes	C8G
ALDH1A1	0	1.41676414673039	0.903	0.36	0	Hepatocytes	ALDH1A1
HSD11B1	0	1.41066238356727	0.655	0.17	0	Hepatocytes	HSD11B1
PRG4	0	1.41013799543828	0.679	0.126	0	Hepatocytes	PRG4
AKR1C1	0	1.38986265658175	0.733	0.143	0	Hepatocytes	AKR1C1
ITIH1	0	1.38774842123119	0.802	0.172	0	Hepatocytes	ITIH1
SERPINA11	0	1.38303346912712	0.63	0.14	0	Hepatocytes	SERPINA11
F5	0	1.381024814085	0.818	0.164	0	Hepatocytes	F5
ASGR1	0	1.37949086222698	0.833	0.187	0	Hepatocytes	ASGR1
RBP5	0	1.37791024455696	0.657	0.15	0	Hepatocytes	RBP5
CYP3A5	0	1.3752049734034	0.684	0.133	0	Hepatocytes	CYP3A5
AKR1C2	0	1.35851635727432	0.683	0.139	0	Hepatocytes	AKR1C2
SLC38A4	0	1.35566012464861	0.732	0.142	0	Hepatocytes	SLC38A4
LGALS4	0	1.34384998341624	0.523	0.115	0	Hepatocytes	LGALS4
CFHR5	0	1.34293624960183	0.483	0.083	0	Hepatocytes	CFHR5
SOD1	0	1.34166005367554	0.979	0.802	0	Hepatocytes	SOD1
AL591485.1	0	1.33046003462613	0.549	0.124	0	Hepatocytes	AL591485.1
SULT2A1	0	1.32734691873528	0.607	0.145	0	Hepatocytes	SULT2A1
ASGR2	0	1.3197666076155	0.82	0.18	0	Hepatocytes	ASGR2
GGH	0	1.31378568335436	0.669	0.202	0	Hepatocytes	GGH
PTGR1	0	1.30370956309307	0.826	0.223	0	Hepatocytes	PTGR1
DDT	0	1.29290506615512	0.929	0.554	0	Hepatocytes	DDT
BHMT	0	1.28853057090852	0.605	0.153	0	Hepatocytes	BHMT
PRDX6	0	1.28249496196573	0.94	0.565	0	Hepatocytes	PRDX6
MASP2	0	1.27671834385725	0.709	0.125	0	Hepatocytes	MASP2
ASS1	0	1.27449642681859	0.784	0.209	0	Hepatocytes	ASS1
PLG	0	1.2733331209051	0.716	0.122	0	Hepatocytes	PLG
CYP2C8	0	1.26654734602601	0.614	0.137	0	Hepatocytes	CYP2C8
CYP2A7	0	1.26432067696053	0.526	0.117	0	Hepatocytes	CYP2A7
LRG1	0	1.24992614907966	0.613	0.127	0	Hepatocytes	LRG1
PTP4A1	0	1.24849725605657	0.887	0.387	0	Hepatocytes	PTP4A1
AKR1C4	0	1.24608285008386	0.64	0.136	0	Hepatocytes	AKR1C4
AADAC	0	1.2411686882218	0.729	0.124	0	Hepatocytes	AADAC
NPW	0	1.23780694584492	0.335	0.086	0	Hepatocytes	NPW
MET	0	1.23290838635701	0.487	0.115	0	Hepatocytes	MET
ANGPTL8	0	1.22537564630798	0.428	0.098	0	Hepatocytes	ANGPTL8
FGGY	0	1.22432091829563	0.725	0.172	0	Hepatocytes	FGGY
ACSM2B	0	1.2212861944804	0.743	0.136	0	Hepatocytes	ACSM2B
HGD	0	1.21736945076106	0.696	0.136	0	Hepatocytes	HGD
MPST	0	1.21474984810359	0.826	0.267	0	Hepatocytes	MPST
CES1	0	1.20947559874168	0.529	0.081	0	Hepatocytes	CES1
UQCRQ	0	1.20736280586966	0.991	0.849	0	Hepatocytes	UQCRQ
A1CF	0	1.19966843014962	0.744	0.115	0	Hepatocytes	A1CF
ACSM2A	0	1.19015054526899	0.648	0.11	0	Hepatocytes	ACSM2A
SERPINA5	0	1.1824790603307	0.714	0.122	0	Hepatocytes	SERPINA5
CYP2D6	0	1.18231024230206	0.596	0.097	0	Hepatocytes	CYP2D6
CLDN1	0	1.18112465379803	0.695	0.112	0	Hepatocytes	CLDN1
INSIG1	0	1.17766291002656	0.735	0.333	0	Hepatocytes	INSIG1
SDS	0	1.17663309809694	0.515	0.301	0	Hepatocytes	SDS
HPD	0	1.16899998061921	0.639	0.185	0	Hepatocytes	HPD
TMEM45A	0	1.15289982437919	0.418	0.111	0	Hepatocytes	TMEM45A
G6PC	0	1.14803035596674	0.556	0.119	0	Hepatocytes	G6PC
ECHS1	0	1.1474171707016	0.917	0.519	0	Hepatocytes	ECHS1
TSTD1	0	1.13319843401856	0.753	0.29	0	Hepatocytes	TSTD1
ACAT1	0	1.12937510852925	0.854	0.377	0	Hepatocytes	ACAT1
SLC10A1	0	1.1290855872275	0.657	0.111	0	Hepatocytes	SLC10A1
CDO1	0	1.12095886610128	0.625	0.104	0	Hepatocytes	CDO1
C8B	0	1.11889222683971	0.675	0.126	0	Hepatocytes	C8B
PCBD1	0	1.11500054183277	0.839	0.401	0	Hepatocytes	PCBD1
SDC2	0	1.0993624548632	0.764	0.26	0	Hepatocytes	SDC2
CBR1	0	1.09892828681728	0.797	0.418	0	Hepatocytes	CBR1
ALDH6A1	0	1.09878215301388	0.765	0.205	0	Hepatocytes	ALDH6A1
ADI1	0	1.09525676948115	0.89	0.48	0	Hepatocytes	ADI1
PGRMC1	0	1.09032189255362	0.804	0.277	0	Hepatocytes	PGRMC1
TFR2	0	1.08475076786978	0.71	0.123	0	Hepatocytes	TFR2
MSMO1	0	1.08237455806651	0.554	0.149	0	Hepatocytes	MSMO1
SERPINF2	0	1.07046085409481	0.692	0.159	0	Hepatocytes	SERPINF2
TXN	0	1.06962774603259	0.987	0.881	0	Hepatocytes	TXN
UGT2B7	0	1.06737321342192	0.633	0.133	0	Hepatocytes	UGT2B7
SERPINA4	0	1.06355875724472	0.677	0.117	0	Hepatocytes	SERPINA4
ECI2	0	1.06156896081379	0.809	0.305	0	Hepatocytes	ECI2
TM4SF5	0	1.05831152231083	0.616	0.113	0	Hepatocytes	TM4SF5
SIGMAR1	0	1.05697011915812	0.798	0.299	0	Hepatocytes	SIGMAR1
GNMT	0	1.05264214622344	0.558	0.124	0	Hepatocytes	GNMT
MAT1A	0	1.05224634027832	0.609	0.114	0	Hepatocytes	MAT1A
TST	0	1.04872459519069	0.649	0.155	0	Hepatocytes	TST
METTL7B	0	1.04529307459746	0.549	0.115	0	Hepatocytes	METTL7B
PROC	0	1.0441147622	0.715	0.123	0	Hepatocytes	PROC
H1F0	0	1.03903643524404	0.773	0.327	0	Hepatocytes	H1F0
LBP	0	1.03123219738754	0.508	0.076	0	Hepatocytes	LBP
BNIP3	0	1.02398686424529	0.767	0.192	0	Hepatocytes	BNIP3
HSD17B13	0	1.02347392893917	0.437	0.073	0	Hepatocytes	HSD17B13
SPP2	0	1.01941801266994	0.418	0.105	0	Hepatocytes	SPP2
LECT2	0	1.01895147444928	0.447	0.125	0	Hepatocytes	LECT2
KRT8	0	1.01408287902777	0.629	0.132	0	Hepatocytes	KRT8
MDK	0	1.01053279409422	0.518	0.159	0	Hepatocytes	MDK
CMBL	0	1.00752093044878	0.695	0.136	0	Hepatocytes	CMBL
SCCPDH	0	1.00399542987676	0.705	0.256	0	Hepatocytes	SCCPDH
ADH6	0	1.00163495873199	0.572	0.097	0	Hepatocytes	ADH6
PHYH	0	0.99426472167337	0.758	0.259	0	Hepatocytes	PHYH
MT-CYB	0	0.988903762412336	1	1	0	Hepatocytes	MT-CYB
TDO2	0	0.984350518730778	0.493	0.104	0	Hepatocytes	TDO2
HINT2	0	0.981997918424949	0.781	0.349	0	Hepatocytes	HINT2
DHCR24	0	0.981162053741733	0.674	0.138	0	Hepatocytes	DHCR24
CYP4A11	0	0.979812337298263	0.595	0.115	0	Hepatocytes	CYP4A11
SEPHS2	0	0.977580835811232	0.773	0.27	0	Hepatocytes	SEPHS2
EHHADH	0	0.977301581235541	0.606	0.097	0	Hepatocytes	EHHADH
SERPINF1	0	0.974277687193296	0.72	0.255	0	Hepatocytes	SERPINF1
FMO5	0	0.973857999339109	0.623	0.118	0	Hepatocytes	FMO5
LINC00844	0	0.967881129551394	0.469	0.077	0	Hepatocytes	LINC00844
ACMSD	0	0.966375446113061	0.558	0.107	0	Hepatocytes	ACMSD
GJB1	0	0.964906668596839	0.661	0.107	0	Hepatocytes	GJB1
HAAO	0	0.961075516772108	0.65	0.17	0	Hepatocytes	HAAO
C3P1	0	0.955455926783353	0.573	0.1	0	Hepatocytes	C3P1
SERPINA10	0	0.953111239405552	0.608	0.1	0	Hepatocytes	SERPINA10
LINC01287	0	0.941239070171598	0.452	0.096	0	Hepatocytes	LINC01287
GOT1	0	0.936127874657226	0.625	0.206	0	Hepatocytes	GOT1
AKR1B10	0	0.935767971943552	0.282	0.057	0	Hepatocytes	AKR1B10
ACAA2	0	0.931910812634039	0.737	0.322	0	Hepatocytes	ACAA2
PAEP	0	0.931262530120948	0.289	0.067	0	Hepatocytes	PAEP
CERS2	0	0.927608956864685	0.777	0.283	0	Hepatocytes	CERS2
REEP6	0	0.927349891312881	0.601	0.112	0	Hepatocytes	REEP6
MT-ND2	0	0.926971157747686	0.998	1	0	Hepatocytes	MT-ND2
GOLT1A	0	0.92528462898111	0.569	0.087	0	Hepatocytes	GOLT1A
QPRT	0	0.920194002921123	0.69	0.201	0	Hepatocytes	QPRT
KHK	0	0.913892181963373	0.579	0.108	0	Hepatocytes	KHK
CISD3	0	0.911716957213206	0.791	0.342	0	Hepatocytes	CISD3
CRYZ	0	0.910351888342047	0.631	0.174	0	Hepatocytes	CRYZ
AC008760.2	0	0.908946089575261	0.457	0.058	0	Hepatocytes	AC008760.2
TMEM205	0	0.908311394467014	0.809	0.372	0	Hepatocytes	TMEM205
CYP2D7	0	0.905689634492777	0.526	0.083	0	Hepatocytes	CYP2D7
ALDH2	0	0.904537275917664	0.841	0.429	0	Hepatocytes	ALDH2
MTTP	0	0.90137777800483	0.61	0.109	0	Hepatocytes	MTTP
CFHR4	0	0.898446994087968	0.359	0.041	0	Hepatocytes	CFHR4
CADM1	0	0.898170273261779	0.661	0.168	0	Hepatocytes	CADM1
HPR	0	0.896812498535121	0.51	0.084	0	Hepatocytes	HPR
BHMT2	0	0.895237893742951	0.632	0.113	0	Hepatocytes	BHMT2
ALDH3A2	0	0.894500418850361	0.699	0.214	0	Hepatocytes	ALDH3A2
CYP7A1	0	0.888385730082545	0.298	0.067	0	Hepatocytes	CYP7A1
C8A	0	0.884052328517792	0.575	0.109	0	Hepatocytes	C8A
PERP	0	0.883700961255942	0.498	0.098	0	Hepatocytes	PERP
ANXA10	0	0.880422886736958	0.536	0.089	0	Hepatocytes	ANXA10
NNMT	0	0.880195557179589	0.358	0.132	0	Hepatocytes	NNMT
ECH1	0	0.87598628115485	0.884	0.577	0	Hepatocytes	ECH1
ETFB	0	0.874260559098353	0.765	0.361	0	Hepatocytes	ETFB
PCK2	0	0.872355238880683	0.572	0.17	0	Hepatocytes	PCK2
MT-ND3	0	0.867575901201385	0.997	0.996	0	Hepatocytes	MT-ND3
TMEM14A	0	0.866315248187142	0.687	0.223	0	Hepatocytes	TMEM14A
PPP1R16A	0	0.859928011391775	0.566	0.101	0	Hepatocytes	PPP1R16A
IDH1	0	0.857123387289554	0.756	0.319	0	Hepatocytes	IDH1
TMEM56	0	0.855854567554935	0.599	0.094	0	Hepatocytes	TMEM56
ATOX1	0	0.853243942244082	0.903	0.613	0	Hepatocytes	ATOX1
SELENBP1	0	0.852823423204579	0.601	0.135	0	Hepatocytes	SELENBP1
EBPL	0	0.843038465032408	0.577	0.196	0	Hepatocytes	EBPL
DSP	0	0.841999909876637	0.405	0.067	0	Hepatocytes	DSP
UPB1	0	0.838357777502249	0.585	0.101	0	Hepatocytes	UPB1
GPX2	0	0.835956428448688	0.295	0.054	0	Hepatocytes	GPX2
METTL7A	0	0.834969795843566	0.688	0.319	0	Hepatocytes	METTL7A
SLC38A3	0	0.833370554622243	0.543	0.083	0	Hepatocytes	SLC38A3
PXMP2	0	0.832821751886065	0.589	0.138	0	Hepatocytes	PXMP2
SERPINA7	0	0.832438554799475	0.444	0.084	0	Hepatocytes	SERPINA7
CTH	0	0.829324663501589	0.415	0.095	0	Hepatocytes	CTH
AFM	0	0.825845709161608	0.456	0.078	0	Hepatocytes	AFM
GADD45G	0	0.825338634044046	0.565	0.279	0	Hepatocytes	GADD45G
ENTPD5	0	0.824911613611989	0.594	0.117	0	Hepatocytes	ENTPD5
LSR	0	0.824249480129689	0.498	0.115	0	Hepatocytes	LSR
GCHFR	0	0.824052884135617	0.59	0.174	0	Hepatocytes	GCHFR
RAMP1	0	0.823312755523975	0.419	0.079	0	Hepatocytes	RAMP1
PON2	0	0.819544773449378	0.65	0.249	0	Hepatocytes	PON2
TCEA3	0	0.817991125972693	0.601	0.109	0	Hepatocytes	TCEA3
PROX1	0	0.813670713302839	0.521	0.07	0	Hepatocytes	PROX1
PDZK1	0	0.812612421403142	0.546	0.07	0	Hepatocytes	PDZK1
TNFSF10	0	0.808955237154733	0.631	0.373	0	Hepatocytes	TNFSF10
ACADSB	0	0.807444430911631	0.586	0.127	0	Hepatocytes	ACADSB
CDKN2A	0	0.804837354275338	0.53	0.151	0	Hepatocytes	CDKN2A
SCP2	0	0.796984156197849	0.904	0.595	0	Hepatocytes	SCP2
GPX3	0	0.796286582791137	0.783	0.385	0	Hepatocytes	GPX3
MT-ND5	0	0.795254869023703	0.998	1	0	Hepatocytes	MT-ND5
SDC1	0	0.795167220285836	0.587	0.125	0	Hepatocytes	SDC1
F12	0	0.794650524611548	0.578	0.111	0	Hepatocytes	F12
CCL16	0	0.794024755989589	0.508	0.084	0	Hepatocytes	CCL16
PIPOX	0	0.793608839932492	0.58	0.11	0	Hepatocytes	PIPOX
GRHPR	0	0.793447714989079	0.726	0.345	0	Hepatocytes	GRHPR
MT-ND4L	0	0.792707539915019	0.993	0.975	0	Hepatocytes	MT-ND4L
MT-ND1	0	0.788320731340041	0.998	0.999	0	Hepatocytes	MT-ND1
OCIAD2	0	0.787812812530173	0.636	0.184	0	Hepatocytes	OCIAD2
SLCO1B1	0	0.783669895570844	0.532	0.077	0	Hepatocytes	SLCO1B1
UGP2	0	0.783345175523426	0.777	0.435	0	Hepatocytes	UGP2
GLYAT	0	0.781829289347631	0.479	0.078	0	Hepatocytes	GLYAT
AQP9	0	0.778946785715305	0.415	0.082	0	Hepatocytes	AQP9
PPP1R1A	0	0.778304963316948	0.366	0.069	0	Hepatocytes	PPP1R1A
F10	0	0.776334302131584	0.476	0.076	0	Hepatocytes	F10
IGFBP2	0	0.775240587160507	0.459	0.148	0	Hepatocytes	IGFBP2
C9	0	0.774918746420693	0.312	0.059	0	Hepatocytes	C9
F13B	0	0.770749244428519	0.545	0.086	0	Hepatocytes	F13B
C6	0	0.76749001044093	0.522	0.091	0	Hepatocytes	C6
EFNA1	0	0.766425190482465	0.657	0.212	0	Hepatocytes	EFNA1
ANGPTL4	0	0.766346591587848	0.408	0.107	0	Hepatocytes	ANGPTL4
APOF	0	0.764711185693674	0.379	0.077	0	Hepatocytes	APOF
GGCX	0	0.76171705021598	0.552	0.187	0	Hepatocytes	GGCX
PROS1	0	0.758650206950521	0.631	0.206	0	Hepatocytes	PROS1
CFI	0	0.758376484405996	0.552	0.109	0	Hepatocytes	CFI
MARC2	0	0.757422537375863	0.548	0.097	0	Hepatocytes	MARC2
C2	0	0.756131617088355	0.697	0.244	0	Hepatocytes	C2
HFE2	0	0.754371265109753	0.517	0.079	0	Hepatocytes	HFE2
BPHL	0	0.745273346047973	0.568	0.14	0	Hepatocytes	BPHL
SLC30A1	0	0.744723281964843	0.374	0.13	0	Hepatocytes	SLC30A1
ALAS1	0	0.741741477462245	0.496	0.173	0	Hepatocytes	ALAS1
PTMS	0	0.74044493697559	0.851	0.494	0	Hepatocytes	PTMS
MAOB	0	0.737850082906454	0.549	0.086	0	Hepatocytes	MAOB
FTCD	0	0.736875339601743	0.475	0.074	0	Hepatocytes	FTCD
STARD10	0	0.733829362829721	0.516	0.103	0	Hepatocytes	STARD10
NIPSNAP1	0	0.733164548422982	0.593	0.142	0	Hepatocytes	NIPSNAP1
AGMO	0	0.732662013696205	0.491	0.086	0	Hepatocytes	AGMO
FAM213A	0	0.731340958109109	0.695	0.267	0	Hepatocytes	FAM213A
KLKB1	0	0.730764141600369	0.5	0.074	0	Hepatocytes	KLKB1
AOX1	0	0.730085885511856	0.382	0.06	0	Hepatocytes	AOX1
HINT1	0	0.730065507667664	0.985	0.875	0	Hepatocytes	HINT1
MT-ND4	0	0.729325238412626	1	1	0	Hepatocytes	MT-ND4
PGLYRP2	0	0.72649744224217	0.458	0.078	0	Hepatocytes	PGLYRP2
MT-CO3	0	0.724801082919354	1	1	0	Hepatocytes	MT-CO3
CYP2C18	0	0.72456721412795	0.438	0.081	0	Hepatocytes	CYP2C18
SLC27A2	0	0.724182663417554	0.472	0.084	0	Hepatocytes	SLC27A2
MYO1B	0	0.719841409733621	0.609	0.151	0	Hepatocytes	MYO1B
HIST1H2AC	0	0.718355101280573	0.438	0.14	0	Hepatocytes	HIST1H2AC
ABAT	0	0.718162846691735	0.522	0.105	0	Hepatocytes	ABAT
MRPL41	0	0.718070472364191	0.786	0.424	0	Hepatocytes	MRPL41
SELENOP	0	0.715519013062405	0.992	0.815	0	Hepatocytes	SELENOP
CAMK2N1	0	0.712906792233585	0.539	0.107	0	Hepatocytes	CAMK2N1
TNFRSF12A	0	0.712214904916652	0.346	0.106	0	Hepatocytes	TNFRSF12A
CYP27A1	0	0.711902601620139	0.602	0.164	0	Hepatocytes	CYP27A1
ECHDC2	0	0.711260417198592	0.573	0.134	0	Hepatocytes	ECHDC2
C12orf57	0	0.708811971761418	0.706	0.369	0	Hepatocytes	C12orf57
SMLR1	0	0.705180350830072	0.459	0.077	0	Hepatocytes	SMLR1
RGN	0	0.703608255571157	0.483	0.074	0	Hepatocytes	RGN
HAL	0	0.701211723151084	0.465	0.091	0	Hepatocytes	HAL
FAH	0	0.696861197007499	0.559	0.141	0	Hepatocytes	FAH
AC087482.1	0	0.692647029792534	0.425	0.058	0	Hepatocytes	AC087482.1
DPYS	0	0.692045252877827	0.463	0.071	0	Hepatocytes	DPYS
AIG1	0	0.691667718740382	0.692	0.289	0	Hepatocytes	AIG1
SLC27A5	0	0.690687938055918	0.446	0.1	0	Hepatocytes	SLC27A5
HAO1	0	0.690172896968141	0.511	0.078	0	Hepatocytes	HAO1
LEPR	0	0.687754356926508	0.388	0.082	0	Hepatocytes	LEPR
DECR2	0	0.686766067214021	0.526	0.131	0	Hepatocytes	DECR2
CYP2J2	0	0.684375796437395	0.498	0.081	0	Hepatocytes	CYP2J2
NR0B2	0	0.681654997903226	0.355	0.066	0	Hepatocytes	NR0B2
TM7SF2	0	0.680191394186558	0.437	0.077	0	Hepatocytes	TM7SF2
NR1H4	0	0.675801716566603	0.5	0.074	0	Hepatocytes	NR1H4
F7	0	0.673771582456725	0.385	0.056	0	Hepatocytes	F7
PRDX2	0	0.671165656864258	0.78	0.39	0	Hepatocytes	PRDX2
C1orf115	0	0.6700013722722	0.496	0.098	0	Hepatocytes	C1orf115
HNMT	0	0.663667383875911	0.687	0.416	0	Hepatocytes	HNMT
NR1I3	0	0.663540897739232	0.404	0.08	0	Hepatocytes	NR1I3
SRP9	0	0.661841497272895	0.884	0.579	0	Hepatocytes	SRP9
HACD3	0	0.659679009215726	0.617	0.239	0	Hepatocytes	HACD3
APOC1P1	0	0.656661705087108	0.38	0.091	0	Hepatocytes	APOC1P1
POR	0	0.654628670481932	0.593	0.27	0	Hepatocytes	POR
FETUB	0	0.6529610655364	0.413	0.066	0	Hepatocytes	FETUB
SDC4	0	0.652254923851306	0.487	0.105	0	Hepatocytes	SDC4
CIDEB	0	0.649244209522181	0.505	0.165	0	Hepatocytes	CIDEB
FKBP2	0	0.64897182547555	0.775	0.505	0	Hepatocytes	FKBP2
DGAT2	0	0.647576946330743	0.438	0.09	0	Hepatocytes	DGAT2
RDH16	0	0.647480915363812	0.389	0.057	0	Hepatocytes	RDH16
TMEM97	0	0.645827147677702	0.492	0.133	0	Hepatocytes	TMEM97
XBP1	0	0.645755677018748	0.845	0.473	0	Hepatocytes	XBP1
NDUFC2	0	0.643156954774895	0.724	0.376	0	Hepatocytes	NDUFC2
