Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
actin filament organization	GOTERM_BP_DIRECT	8	4.060913705583756	0.0007139708349875679	DIAPH2, MARCKS, MARCKSL1, MYO1B, NOSTRIN, RAC1, RHOC, TMSB10	186	155	19462	5.400485605272285	0.6849119554942011	0.1035737625154265	0.102100542640439
angiogenesis	GOTERM_BP_DIRECT	10	5.076142131979696	0.0007686364565152251	PDGFRB, NRP1, ENPEP, JUN, ATP5F1B, COL4A2, MYH9, THY1, PLXDC1, APOLD1	186	255	19462	4.103310141260805	0.7115873634599239	0.1035737625154265	0.102100542640439
positive regulation of substrate adhesion-dependent cell spreading	GOTERM_BP_DIRECT	5	2.538071065989848	0.0009442940388529924	NRP1, MDK, RAC1, CALR, LIMS1	186	46	19462	11.37330528284245	0.7829537571289027	0.1174556508327145	0.1157849767639746
fat cell differentiation	GOTERM_BP_DIRECT	6	3.045685279187817	0.0012372963936461	STEAP4, CCND1, KCNJ8, GRK5, CEBPD, ADGRF5	186	84	19462	7.4738863287250386	0.8649279615879196	0.1429077334661253	0.1408750322479924
response to xenobiotic stimulus	GOTERM_BP_DIRECT	10	5.076142131979696	0.0013724208149289	JUN, CCND1, KCNJ8, MDK, MAP1B, IGFBP2, LPL, ABCC9, PPARG, CALR	186	277	19462	3.777415473001824	0.8914700051189394	0.1479469638493439	0.1458425852664528
positive regulation of apoptotic process	GOTERM_BP_DIRECT	11	5.583756345177665	0.0014767934300528	PDGFRB, ITGB1, JUN, LGALS1, FAM162A, BAX, ID3, PPARG, PHLDA1, SOX4, IFIT2	186	337	19462	3.415366452889187	0.908346488133416	0.1492484360247151	0.1471255454690141
negative regulation of cell proliferation	GOTERM_BP_DIRECT	13	6.598984771573605	0.0016032885282566	MAP2K1, IFITM1, JUN, DUSP1, TESC, F2R, ITGA1, SSTR2, TOB1, ADAMTS1, DLC1, SPRY1, SOX4	186	462	19462	2.944258250709864	0.925324114065053	0.149678943409522	0.1475499293721572
mitochondrial electron transport, cytochrome c to oxygen	GOTERM_BP_DIRECT	4	2.030456852791878	0.0016661848988072	COX4I1, COX4I2, CYCS, MT-CO2	186	25	19462	16.74150537634409	0.9325566985670672	0.149678943409522	0.1475499293721572
positive regulation of focal adhesion assembly	GOTERM_BP_DIRECT	4	2.030456852791878	0.0018704285006441	NRP1, RAC1, THY1, LIMS1	186	26	19462	16.097601323407776	0.9515544579894696	0.1591833097653509	0.1569191068435184
blood coagulation	GOTERM_BP_DIRECT	6	3.045685279187817	0.0020386756503473	PROCR, F2R, SERPING1, PLAT, CD36, TFPI	186	94	19462	6.678792038435141	0.9631132690346892	0.1648269263305857	0.1624824493326863
hydrogen ion transmembrane transport	GOTERM_BP_DIRECT	7	3.5532994923857872	0.0023111837622521	ATP5F1B, COX4I1, COX4I2, ATP5MC3, MT-CO2, CYC1, SLC25A5	186	141	19462	5.194616029893998	0.976281725900789	0.1779611496934148	0.1754298531919006
response to estradiol	GOTERM_BP_DIRECT	6	3.045685279187817	0.0027894569795021	PDGFRB, CCND1, MAP1B, IGFBP2, NR2F2, CALR	186	101	19462	6.215905461513893	0.9890766726713156	0.1999612906865153	0.1971170670094653
aging	GOTERM_BP_DIRECT	7	3.5532994923857872	0.00284422367705	PDGFRB, SLC12A2, COL4A2, IGFBP2, SERPING1, CTSC, LOXL2	186	147	19462	4.982590885816693	0.9900049225511568	0.1999612906865153	0.1971170670094653
hepatocyte growth factor receptor signaling pathway	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0030964476531754	NRP1, STMN1, RAC1	186	9	19462	34.878136200716845	0.993360534282772	0.2019994454703666	0.1991262313418456
positive regulation of release of sequestered calcium ion into cytosol	GOTERM_BP_DIRECT	4	2.030456852791878	0.0031230588353488	F2R, BAX, SRI, THY1	186	31	19462	13.501214013180716	0.9936410263825926	0.2019994454703666	0.1991262313418456
fatty acid transport	GOTERM_BP_DIRECT	4	2.030456852791878	0.0034222587412342	FABP4, KCNJ8, FABP5, RBP1	186	32	19462	13.079301075268818	0.9960863431194984	0.2128381686375295	0.2098107859048992
positive regulation of endothelial cell migration	GOTERM_BP_DIRECT	5	2.538071065989848	0.0040083017020787	NRP1, SPARC, RAC1, CALR, SASH1	186	68	19462	7.693706514864011	0.998488191132054	0.2351474658157699	0.2318027585097942
actomyosin structure organization	GOTERM_BP_DIRECT	4	2.030456852791878	0.0040718175898834	FRMD3, EPB41L1, MYH9, CDC42BPA	186	34	19462	12.309930423782417	0.998636322559608	0.2351474658157699	0.2318027585097942
positive regulation of inflammatory response	GOTERM_BP_DIRECT	6	3.045685279187817	0.0046846551960306	LGALS1, FABP4, MDK, CAMK2N1, AGTR1, LPL	186	114	19462	5.507074136955291	0.99949597586195	0.2499277125074597	0.2463727728737728
negative regulation of neuron apoptotic process	GOTERM_BP_DIRECT	7	3.5532994923857872	0.0047188794702127	NRP1, JUN, CCND1, MDK, F2R, BAX, IL6ST	186	163	19462	4.493502209908305	0.999523235775474	0.2499277125074597	0.2463727728737728
positive regulation of Rho protein signal transduction	GOTERM_BP_DIRECT	4	2.030456852791878	0.0047914403758387	PDGFRB, COL3A1, F2R, RAC1	186	36	19462	11.626045400238947	0.9995762555748045	0.2499277125074597	0.2463727728737728
positive regulation of cell-substrate adhesion	GOTERM_BP_DIRECT	4	2.030456852791878	0.0051781731533111	EGFLAM, RAC1, NID1, LIMS1	186	37	19462	11.311827956989248	0.9997739738402844	0.2556228521123028	0.2519869055454612
cell migration	GOTERM_BP_DIRECT	9	4.568527918781726	0.005216792900251	PDGFRB, ITGB1, CD63, ENPEP, NOSTRIN, CD248, RAC1, RHOC, CDC42BPA	186	278	19462	3.3874448828034347	0.9997877263288468	0.2556228521123028	0.2519869055454612
fibroblast proliferation	GOTERM_BP_DIRECT	4	2.030456852791878	0.0055831744503724	COL3A1, KCNJ8, CD248, ABCC9	186	38	19462	11.014148273910584	0.9998829945118922	0.2655292084191816	0.2617523551145179
response to wounding	GOTERM_BP_DIRECT	5	2.538071065989848	0.0059553211651124	NRP1, MDK, F2R, ID3, RAC1	186	76	19462	6.883842671194115	0.9999361224646106	0.2712978927767848	0.2674389864478633
positive regulation of cell proliferation	GOTERM_BP_DIRECT	13	6.598984771573605	0.0060460722042334	PDGFRB, ITGB1, MARCKSL1, F2R, CLEC11A, KITLG, GRK5, CD248, CALR, RAC1, SLC25A5, IL6ST, SOX4	186	545	19462	2.4958666272072603	0.999944889656238	0.2712978927767848	0.2674389864478633
neuron migration	GOTERM_BP_DIRECT	6	3.045685279187817	0.0064413917059527	NRP1, COL3A1, MAP1B, BAX, NR2F2, RAC1	186	123	19462	5.104117492787831	0.999971034962032	0.2712978927767848	0.2674389864478633
apoptotic process	GOTERM_BP_DIRECT	14	7.106598984771575	0.0064666676320037	KCNJ8, MARCKS, LGALS1, IFI27, GRK5, TCIM, DLC1, BAX, CYCS, PHLDA1, RNF152, TNFRSF21, CTSC, SLC25A6	186	620	19462	2.3627124523066247	0.9999722023121698	0.2712978927767848	0.2674389864478633
positive regulation of integrin-mediated signaling pathway	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0065433629055625	CD63, NID1, LIMS1	186	13	19462	24.146401985111662	0.9999754644133874	0.2712978927767848	0.2674389864478633
supramolecular fiber organization	GOTERM_BP_DIRECT	3	1.5228426395939088	0.009880260968814	FKBP1A, COL3A1, BAX	186	16	19462	19.618951612903224	0.99999989357562	0.3976976380938127	0.3920408380467145
heart morphogenesis	GOTERM_BP_DIRECT	4	2.030456852791878	0.0100838609535227	FKBP1A, KCNJ8, DLC1, ABCC9	186	47	19462	8.905056051246856	0.9999999236831258	0.3976976380938127	0.3920408380467145
cytoplasmic translation	GOTERM_BP_DIRECT	5	2.538071065989848	0.0111199081052106	RPS7, RPS19, RPS18, RPLP0, RPL13A	186	91	19462	5.749143329788492	0.9999999859635974	0.4226600392116956	0.416648177182092
negative regulation of transcription, DNA-templated	GOTERM_BP_DIRECT	13	6.598984771573605	0.0112395681423023	JUN, CEBPD, NR2F2, TOB1, LOXL2, DKK3, RASD1, FABP4, NOSTRIN, ID3, PPARG, CALR, LIMS1	186	592	19462	2.2977150537634405	0.9999999884581884	0.4226600392116956	0.416648177182092
monocyte differentiation	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0138191999431879	JUN, MYH9, PPARG	186	19	19462	16.521222410865875	0.9999999998310608	0.5035683293743789	0.4964056382329994
regulation of cell cycle	GOTERM_BP_DIRECT	8	4.060913705583756	0.0144572148526679	ITGB1, JUN, SON, GRK5, BAX, ID3, CLIC1, JUNB	186	268	19462	3.123415182153748	0.9999999999406726	0.5035683293743789	0.4964056382329994
regulation of cell shape	GOTERM_BP_DIRECT	6	3.045685279187817	0.0147680667685017	EPS8, DLC1, MYH9, RAC1, ARHGAP15, RHOC	186	151	19462	4.1576586199530015	0.9999999999643776	0.5035683293743789	0.4964056382329994
response to vitamin A	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0152596463446781	MAP1B, RBP1, PPARG	186	20	19462	15.69516129032258	0.9999999999841056	0.5035683293743789	0.4964056382329994
nitric oxide mediated signal transduction	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0152596463446781	GUCY1A2, RASD1, CD36	186	20	19462	15.69516129032258	0.9999999999841056	0.5035683293743789	0.4964056382329994
positive regulation of macrophage derived foam cell differentiation	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0152596463446781	AGTR1, LPL, CD36	186	20	19462	15.69516129032258	0.9999999999841056	0.5035683293743789	0.4964056382329994
muscle organ development	GOTERM_BP_DIRECT	5	2.538071065989848	0.0163227781310325	ITGB1, SGCE, ID3, COL6A3, SRI	186	102	19462	5.129137676576007	0.9999999999972288	0.527878644757594	0.520370166817319
myoblast differentiation	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0183238752629977	ITGB1, DDX5, LGALS1	186	22	19462	14.268328445747798	0.9999999999998972	0.5788343042836261	0.570601039596846
response to mechanical stimulus	GOTERM_BP_DIRECT	4	2.030456852791878	0.0186143375527201	MAP1B, IGFBP2, PIEZO2, PPARG	186	59	19462	7.093858210315291	0.9999999999999362	0.5788343042836261	0.570601039596846
actin cytoskeleton reorganization	GOTERM_BP_DIRECT	4	2.030456852791878	0.019460078206075	EPS8, NRP1, MYH9, CDC42BPA	186	60	19462	6.975627240143369	0.999999999999984	0.5827212307263592	0.5744326788978458
Rho protein signal transduction	GOTERM_BP_DIRECT	4	2.030456852791878	0.019460078206075	EPS8, ARHGDIB, AGTR1, ARHGAP29	186	60	19462	6.975627240143369	0.999999999999984	0.5827212307263592	0.5744326788978458
response to virus	GOTERM_BP_DIRECT	5	2.538071065989848	0.0209268208209626	IFITM3, IFITM1, STMN1, ISG15, IFIT2	186	110	19462	4.756109481915934	0.9999999999999986	0.6134406117145886	0.604715111362433
cellular response to low-density lipoprotein particle stimulus	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0216240660901246	ITGB1, PPARG, CD36	186	24	19462	13.079301075268818	0.9999999999999996	0.6134406117145886	0.604715111362433
negative regulation of Rho protein signal transduction	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0216240660901246	ITGB1, DLC1, STMN1	186	24	19462	13.079301075268818	0.9999999999999996	0.6134406117145886	0.604715111362433
response to estrogen	GOTERM_BP_DIRECT	4	2.030456852791878	0.0221231003362163	PDGFRB, CCND1, IGFBP2, PPARG	186	63	19462	6.643454514422257	0.9999999999999998	0.6167767800631346	0.6080038264815316
regulation of actin cytoskeleton reorganization	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0233595340200373	MDK, GMFG, ARHGDIB	186	25	19462	12.556129032258063	1.0	0.6214039055100571	0.6125651362912993
negative regulation of transforming growth factor beta receptor signaling pathway	GOTERM_BP_DIRECT	5	2.538071065989848	0.0234988356941693	FKBP1A, PMEPA1, SPRY1, PPARG, ASPN	186	114	19462	4.589228447462743	1.0	0.6214039055100571	0.6125651362912993
regulation of cell migration	GOTERM_BP_DIRECT	5	2.538071065989848	0.0234988356941693	LAMA4, STMN1, RAC1, THY1, TMSB10	186	114	19462	4.589228447462743	1.0	0.6214039055100571	0.6125651362912993
actin cytoskeleton organization	GOTERM_BP_DIRECT	7	3.5532994923857872	0.0240216522935613	SPECC1, DLC1, MYH9, RAC1, ARHGAP26, CDC42BPA, SPTBN1	186	233	19462	3.1435230052148238	1.0	0.6214039055100571	0.6125651362912993
positive regulation of MAPK cascade	GOTERM_BP_DIRECT	6	3.045685279187817	0.0242105417731191	PDGFRB, MAP2K1, IGFBP4, F2R, ITGA1, PLCE1	186	172	19462	3.650037509377345	1.0	0.6214039055100571	0.6125651362912993
defense response to virus	GOTERM_BP_DIRECT	7	3.5532994923857872	0.0255746533019155	IFITM3, IFITM1, KCNJ8, IFI27, ISG15, ABCC9, IFIT2	186	236	19462	3.10356296701294	1.0	0.6461595998312093	0.6369687088008334
mitotic cytokinesis	GOTERM_BP_DIRECT	4	2.030456852791878	0.0269810379426737	SON, STMN1, RHOC, SPTBN1	186	68	19462	6.154965211891208	1.0	0.6610354295955068	0.6516329466760902
negative regulation of protein kinase activity	GOTERM_BP_DIRECT	4	2.030456852791878	0.0269810379426737	FABP4, PRKAR1A, CAMK2N1, THY1	186	68	19462	6.154965211891208	1.0	0.6610354295955068	0.6516329466760902
low-density lipoprotein particle mediated signaling	GOTERM_BP_DIRECT	2	1.015228426395939	0.0282483316622385	LPL, CD36	186	3	19462	69.7562724014337	1.0	0.6817545119080559	0.672057323426989
positive regulation of NIK/NF-kappaB signaling	GOTERM_BP_DIRECT	4	2.030456852791878	0.0312438277570389	TCIM, CALR, SASH1, LIMS1	186	72	19462	5.8130227001194745	1.0	0.7429598453401767	0.7323920800694135
regulation of Rho protein signal transduction	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0328425807372031	EPS8, DLC1, ARHGDIB	186	30	19462	10.463440860215051	1.0	0.7696587398848919	0.7587112129724908
positive regulation of GTPase activity	GOTERM_BP_DIRECT	6	3.045685279187817	0.0353931108996179	ITGB1, ADAP2, F2R, ASAP1, THY1, LIMS1	186	190	19462	3.3042444821731745	1.0	0.8162098593773618	0.8046001953293226
positive regulation of osteoblast differentiation	GOTERM_BP_DIRECT	4	2.030456852791878	0.0358385281482947	IFITM1, CEBPD, IL6ST, CLIC1	186	76	19462	5.507074136955292	1.0	0.8162098593773618	0.8046001953293226
regulation of lysosome organization	GOTERM_BP_DIRECT	2	1.015228426395939	0.0374869389191875	SCARB2, LAPTM4B	186	4	19462	52.31720430107527	1.0	0.8418941698934207	0.829919175516458
platelet-derived growth factor receptor signaling pathway	GOTERM_BP_DIRECT	3	1.5228426395939088	0.039135475559373	PDGFRB, NRP1, PLAT	186	33	19462	9.512218963831868	1.0	0.866877588760359	0.854547233447132
sprouting angiogenesis	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0413269541852312	NRP1, VSTM4, LOXL2	186	34	19462	9.232447817836812	1.0	0.9030497961826884	0.8902049320440355
cerebral cortex development	GOTERM_BP_DIRECT	4	2.030456852791878	0.0433440975060063	COL3A1, MDK, BAX, SLC38A2	186	82	19462	5.104117492787832	1.0	0.9268723428940449	0.9136886299153416
brown fat cell differentiation	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0435635733209322	FABP4, LAMA4, EBF2	186	35	19462	8.968663594470046	1.0	0.9268723428940449	0.9136886299153416
cell adhesion	GOTERM_BP_DIRECT	11	5.583756345177665	0.0448889102822213	LGALS3BP, ITGB1, KITLG, LAMA4, ITGA1, COL6A3, CD36, RAC1, THY1, NID2, LOXL2	186	567	19462	2.0299444349623563	1.0	0.931036329103342	0.917793388120425
endothelial cell migration	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0458442870236249	NRP1, VSTM4, LOXL2	186	36	19462	8.719534050179211	1.0	0.931036329103342	0.917793388120425
positive regulation of melanocyte differentiation	GOTERM_BP_DIRECT	2	1.015228426395939	0.0466381834615774	KITLG, ADAMTS9	186	5	19462	41.85376344086022	1.0	0.931036329103342	0.917793388120425
lipid transport across blood brain barrier	GOTERM_BP_DIRECT	2	1.015228426395939	0.0466381834615774	FABP5, CD36	186	5	19462	41.85376344086022	1.0	0.931036329103342	0.917793388120425
ventricular cardiac muscle tissue development	GOTERM_BP_DIRECT	2	1.015228426395939	0.0466381834615774	KCNJ8, ADAMTS9	186	5	19462	41.85376344086022	1.0	0.931036329103342	0.917793388120425
actin filament bundle assembly	GOTERM_BP_DIRECT	3	1.5228426395939088	0.0481680649576801	EPS8, MARCKS, MYO1B	186	37	19462	8.483870967741936	1.0	0.9498507443484	0.9363401895431972
multicellular organism development	GOTERM_BP_DIRECT	5	2.538071065989848	0.0488174363254828	PDGFRB, BEX3, ARHGDIB, ID3, ADAMTS9	186	144	19462	3.6331391875746712	1.0	0.951057765521756	0.9375300422026462
